type,cnt
Q7584266,2
Q1416898,2
Q154494,2
Q55064642,2
Q6000508,2
Q2443004,2
Q14820652,2
Q753811,2
Q109935680,2
Q2325252,2
Q23058941,2
Q28870211,2
Q21133324,2
Q94175988,2
Q21105288,2
Q431226,2
Q1470138,2
Q1658150,2
Q354091,2
Q6982006,2
Q28100410,2
Q700063,2
Q2431020,2
Q63088929,2
Q205572,2
Q905972,2
Q6901292,2
Q17329819,2
Q110701,2
Q7209603,2
Q14891588,2
Q152523,2
Q725864,2
Q3118387,2
Q94620942,2
Q109935605,2
Q912996,2
Q14882482,2
Q11371169,2
Q369799,2
Q26205842,2
Q54868442,2
Q107353247,2
Q11682254,2
Q2412191,2
Q10855380,2
Q454935,2
Q70597985,2
Q333495,2
Q94179568,2
Q17363717,2
Q2464727,2
Q30545022,2
Q99026520,2
Q29959475,2
Q754806,2
Q846773,2
Q29502,2
Q7918620,2
Q22442788,2
Q14897639,2
Q7013332,2
Q165233,2
Q5455087,2
Q5354776,2
Q257437,2
Q751967,2
Q101874706,2
Q97451302,2
Q16002194,2
Q43792381,2
Q2172087,2
Q3354924,2
Q178930,2
Q3812488,2
Q14864581,2
Q23582374,2
Q108702572,2
Q900214,2
Q11486634,2
Q245169,2
Q17074907,2
Q109935560,2
Q7883019,2
Q836086,2
Q7234317,2
Q17354233,2
Q109935517,2
Q756202,2
Q235041,2
Q93395542,2
Q5495352,2
Q898242,2
Q1415084,2
Q19606784,2
Q430660,2
Q12038591,2
Q110886414,2
Q1782935,2
Q54877479,2
Q4130124,2
Q60021471,2
Q3922366,2
Q1628553,2
Q15923787,2
Q30020409,2
Q1373538,2
Q10460910,2
Q2822717,2
Q4315979,2
Q2791470,2
Q625903,2
Q51687506,1
Q13363321,1
Q5000589,1
Q321654,1
Q51159762,1
Q2242213,1
Q63214346,1
Q13393124,1
Q4752816,1
Q21103114,1
Q27494565,1
Q182639,1
Q4070685,1
Q7302881,1
Q4504516,1
Q6317275,1
Q65770905,1
Q4958902,1
Q56024035,1
Q1480879,1
Q1440340,1
Q2715541,1
Q4055822,1
Q48802726,1
Q24534551,1
Q1518315,1
Q13896240,1
Q107636079,1
Q2280140,1
Q2599494,1
Q108172332,1
Q6851831,1
Q7674068,1
Q2264757,1
Q19914514,1
Q640954,1
Q5194982,1
Q1546421,1
Q6982012,1
Q108131727,1
Q62955,1
Q193211,1
Q788874,1
Q3587621,1
Q24518,1
Q5053154,1
Q1378945,1
Q13859551,1
Q133333,1
Q47487415,1
Q14912535,1
Q1255251,1
Q40693969,1
Q7573033,1
Q841440,1
Q498182,1
Q40795688,1
Q721668,1
Q5570217,1
Q56024038,1
Q11926032,1
Q5354796,1
Q861345,1
Q2094798,1
Q6004969,1
Q145658,1
Q45803,1
Q41071806,1
Q2276065,1
Q3043499,1
Q100350675,1
Q4936774,1
Q21120112,1
Q76647964,1
Q85443050,1
Q16874630,1
Q135005,1
Q3560882,1
Q11362482,1
Q63088922,1
Q1730207,1
Q1728972,1
Q100921020,1
Q426507,1
Q2265780,1
Q35647389,1
Q8000914,1
Q836738,1
Q7635378,1
Q64827016,1
Q21107275,1
Q24574680,1
Q264136,1
Q752304,1
Q3435775,1
Q490513,1
Q663273,1
Q8038643,1
Q1309627,1
Q843418,1
Q80042,1
Q3537859,1
Q80593337,1
Q105030159,1
Q228036,1
Q863452,1
Q182722,1
Q1463565,1
Q3064816,1
Q641449,1
Q106453584,1
Q1545308,1
Q467064,1
Q1616353,1
Q3586949,1
Q3621156,1
Q1790538,1
Q112663,1
Q727746,1
Q896739,1
Q7314673,1
Q85821037,1
Q15466187,1
Q2615857,1
Q29934288,1
Q4732580,1
Q650702,1
Q97451648,1
Q99496989,1
Q201424,1
Q66372313,1
Q51172766,1
Q1797869,1
Q1210697,1
Q20053795,1
Q878138,1
Q2640883,1
Q14863965,1
Q106223176,1
Q5453341,1
Q869370,1
Q1176224,1
Q56024043,1
Q7232516,1
Q2345115,1
Q60030312,1
Q19396147,1
Q724784,1
Q1686810,1
Q14906653,1
Q491502,1
Q56461743,1
Q7523802,1
Q91476283,1
Q27277581,1
Q1292614,1
Q1154933,1
Q14865026,1
Q76289061,1
Q56024041,1
Q2681162,1
Q5255897,1
Q4830211,1
Q5655230,1
Q21112023,1
Q4895359,1
Q17747594,1
Q14888944,1
Q109935583,1
Q4788547,1
Q2739113,1
Q10685476,1
Q4411107,1
Q20940236,1
Q233288,1
Q385545,1
Q11555358,1
Q108863993,1
Q107622168,1
Q190940,1
Q68431138,1
Q5025632,1
Q4825093,1
Q17142966,1
Q5155573,1
Q8683,1
Q11445559,1
Q174876,1
Q14911651,1
Q29573182,1
Q1321697,1
Q25810859,1
Q2008811,1
Q13400856,1
Q22288342,1
Q21141820,1
Q231577,1
Q699353,1
Q7017567,1
Q105103353,1
Q5883983,1
Q1959141,1
Q57262261,1
Q105587404,1
Q40083508,1
Q16533779,1
Q69423649,1
Q22341340,1
Q1716571,1
Q3390934,1
Q1423039,1
Q781757,1
Q2254427,1
Q22290559,1
Q7835240,1
Q97124825,1
Q3400581,1
Q7099379,1
Q5666435,1
Q11252537,1
Q3187082,1
Q109127478,1
Q7801532,1
Q22288542,1
Q1276245,1
Q17332629,1
Q5176896,1
Q3458196,1
Q360372,1
Q339249,1
Q172560,1
Q21096291,1
Q654117,1
Q74595662,1
Q358805,1
Q751982,1
Q1321523,1
Q939087,1
Q11479931,1
Q849211,1
Q743488,1
Q1415275,1
Q2255532,1
Q22290457,1
Q758824,1
Q23036198,1
Q7883956,1
Q207238,1
Q384724,1
Q3587334,1
Q6983400,1
Q14860549,1
Q29584728,1
Q104741931,1
Q7865904,1
Q13427130,1
Q5533440,1
Q1046469,1
Q21122752,1
Q14819456,1
Q3508866,1
Q1435124,1
Q104479499,1
Q77257857,1
Q97292900,1
Q56024040,1
Q25047808,1
Q11487759,1
Q685160,1
Q6026954,1
Q12056872,1
Q21121866,1
Q622377,1
Q22290644,1
Q651172,1
Q4923444,1
Q7897003,1
Q851758,1
Q6037238,1
Q331828,1
Q43290857,1
Q232777,1
Q7311547,1
Q5354847,1
Q834550,1
Q24041602,1
Q1344887,1
Q11936732,1
Q6538366,1
Q14882487,1
Q46048144,1
Q22288394,1
Q6056346,1
Q497426,1
Q9848046,1
Q506616,1
Q2369404,1
Q942040,1
Q54257384,1
Q14820674,1
Q303764,1
Q4976857,1
Q4775204,1
Q4916653,1
Q22288546,1
Q1574438,1
Q319771,1
Q11424403,1
Q25547854,1
Q195986,1
Q97451722,1
Q66087801,1
Q2994156,1
Q107011713,1
Q1256803,1
Q11514338,1
Q44595,1
Q1540534,1
Q1778555,1
Q1971354,1
Q4698279,1
Q110453684,1
Q74212708,1
Q42266247,1
Q17772965,1
Q3045365,1
Q3335066,1
Q16235120,1
Q1983893,1
Q2247281,1
Q28966106,1
Q490846,1
Q100799210,1
Q45385407,1
Q21074304,1
Q14819302,1
Q7622661,1
Q96747290,1
Q28870409,1
Q753108,1
Q2353190,1
Q1342132,1
Q61658758,1
Q13377609,1
Q105807,1
Q61858413,1
Q10280357,1
Q11424431,1
Q3735153,1
Q5164285,1
Q16935379,1
Q903900,1
Q3531620,1
Q5307895,1
Q3087867,1
Q184726,1
Q386899,1
Q3306321,1
Q100159,1
Q2548750,1
Q16965421,1
Q21119857,1
Q13414782,1
Q1432247,1
Q2105834,1
Q846330,1
Q7328304,1
Q746694,1
Q26338179,1
Q22290558,1
Q1071447,1
Q24910170,1
Q1469686,1
Q14863664,1
Q56024037,1
Q11631566,1
Q1239532,1
Q6038651,1
Q107654488,1
Q105992668,1
Q1525203,1
Q69445139,1
Q1141338,1
Q22290375,1
Q2891821,1
Q244913,1
Q794587,1
Q105370834,1
Q2142916,1
Q60364778,1
Q25544724,1
Q60727631,1
Q3569648,1
Q6014156,1
Q98915706,1
Q13431749,1
Q99521170,1
Q56024042,1
Q3309962,1
Q4804181,1
Q336254,1
Q1929797,1
Q19804654,1
Q1385398,1
Q56023992,1
Q1395855,1
Q14864012,1
Q79695687,1
Q18609332,1
Q694381,1
Q56291730,1
Q84035267,1
Q1456466,1
Q1047367,1
Q251484,1
Q170518,1
Q11659306,1
Q1577470,1
Q21100393,1
Q8034237,1
Q55166859,1
Q127441,1
Q7854874,1
Q320677,1
Q1527693,1
Q56024039,1
Q7248067,1
Q1750740,1
Q877592,1
Q14902523,1
Q37681,1
Q56704157,1
Q245,1
Q10271510,1
Q16068932,1
Q56604477,1
Q56318145,1
Q93763662,1
Q211011,1
Q65245831,1
Q15857735,1
Q181784,1
Q2234635,1
Q3587369,1
Q24887191,1
Q12039372,1
Q108828376,1
Q2514015,1
Q86667968,1
Q105938904,1
Q89822180,1
Q10851365,1
Q109311521,1
Q11614282,1
Q1992300,1
Q107976231,1
Q2306789,1
Q104180885,1
Q28224582,1
Q60997348,1
Q70997756,1
Q57821094,1
Q6821213,1
Q94579027,1
Q12051532,1
Q4346052,1
Q56318101,1
Q3340886,1
Q57819011,1
Q2787772,1
Q102124796,1
Q101048164,1
Q11875820,1
Q28784073,1
Q20180685,1
Q705080,1
Q9264560,1
Q2015202,1
Q55630875,1
Q11827307,1
Q105766104,1
Q50291818,1
Q3072498,1
Q3420130,1
Q30928406,1
Q2015594,1
Q102121362,1
Q2266789,1
Q4077390,1
Q11604367,1
Q1592969,1
Q2531579,1
Q5827809,1
Q20820058,1
Q30020460,1
Q2899221,1
Q305918,1
